代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),
DJI.GI,道琼斯工业指数,1990-12-19,N/A,2632.67,2619.55,2626.73,N/A,N/A,
DJI.GI,道琼斯工业指数,1990-12-20,2626.73,2637.62,2598.76,2629.46,N/A,N/A,
DJI.GI,道琼斯工业指数,1990-12-21,2629.46,2645.79,2629.46,2633.66,N/A,N/A,
DJI.GI,道琼斯工业指数,1990-12-24,2632.92,2632.92,2617.33,2621.29,N/A,N/A,
DJI.GI,道琼斯工业指数,1990-12-26,2621.29,2643.32,2621.29,2637.13,N/A,N/A,
DJI.GI,道琼斯工业指数,1990-12-27,2637.13,2645.79,2624.5,2625.5,N/A,N/A,
DJI.GI,道琼斯工业指数,1990-12-28,2625,2629.21,2613.86,2629.21,N/A,N/A,
DJI.GI,道琼斯工业指数,1990-12-31,2628.96,2633.91,2618.32,2633.66,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-02,2633.66,2642.82,2610.64,2610.64,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-03,2610.64,2612.38,2572.52,2573.51,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-04,2575.99,2584.9,2552.48,2566.09,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-07,2566.09,2566.09,2522.52,2522.77,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-08,2522.77,2535.64,2506.68,2509.41,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-09,2509.41,2554.95,2467.33,2470.3,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-10,2470.3,2499.5,2470.3,2498.76,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-11,2498.76,2501.49,2485.64,2501.49,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-14,2500.5,2500.5,2457.67,2483.91,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-15,2483.91,2494.8,2477.72,2490.59,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-16,2490.59,2517.08,2483.42,2508.91,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-17,2508.91,2623.51,2508.91,2623.51,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-18,2623.51,2653.96,2614.11,2646.78,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-21,2646.78,2646.78,2614.36,2629.21,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-22,2629.21,2632.92,2599.01,2603.22,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-23,2603.47,2624.01,2600.99,2619.06,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-24,2619.31,2653.22,2619.31,2643.07,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-25,2643.07,2664.11,2640.59,2659.41,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-28,2657.43,2675.99,2652.72,2654.46,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-29,2654.21,2663.37,2637.38,2662.62,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-30,2660.89,2713.12,2660.64,2713.12,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-01-31,2713.12,2736.39,2705.69,2736.39,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-02-01,2736.39,2748.51,2705.94,2730.69,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-02-04,2727.97,2786.39,2727.97,2772.28,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-02-05,2768.32,2788.37,2754.21,2788.37,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-02-06,2788.37,2834.41,2770.54,2830.94,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-02-07,2830.94,2864.36,2804.95,2810.64,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-02-08,2809.65,2832.18,2805.2,2830.69,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-02-11,2827.48,2902.48,2827.48,2902.23,N/A,N/A,
DJI.GI,道琼斯工业指数,1991-02-12,2901.98,2912.38,2874.75,2874.75,N/A,N/A,
