代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),
FTSE.GI,英国富时100,1990-12-19,N/A,2179.1,2165.4,2178.7,N/A,N/A,
FTSE.GI,英国富时100,1990-12-20,2172.3,2172.5,2149.1,2158.8,N/A,N/A,
FTSE.GI,英国富时100,1990-12-21,2163.4,2164.6,2152.6,2164.5,N/A,N/A,
FTSE.GI,英国富时100,1990-12-24,2159.5,2159.5,2152.6,2156.5,N/A,N/A,
FTSE.GI,英国富时100,1990-12-27,2159.4,2167.8,2155.7,2167.8,N/A,N/A,
FTSE.GI,英国富时100,1990-12-28,2163.8,2170.4,2160,2160.4,N/A,N/A,
FTSE.GI,英国富时100,1990-12-31,2152.5,2152.5,2140.6,2143.4,N/A,N/A,
FTSE.GI,英国富时100,1991-01-02,2142.9,2143,2122.9,2128.3,N/A,N/A,
FTSE.GI,英国富时100,1991-01-03,2121.1,2124.4,2106.3,2117.8,N/A,N/A,
FTSE.GI,英国富时100,1991-01-04,2109.2,2131,2109.2,2126.1,N/A,N/A,
FTSE.GI,英国富时100,1991-01-07,2126.3,2130,2109.9,2113.4,N/A,N/A,
FTSE.GI,英国富时100,1991-01-08,2099.8,2103.5,2095.5,2099.9,N/A,N/A,
FTSE.GI,英国富时100,1991-01-09,2099.8,2130.9,2099.8,2128.9,N/A,N/A,
FTSE.GI,英国富时100,1991-01-10,2109.3,2114.3,2103.6,2108.7,N/A,N/A,
FTSE.GI,英国富时100,1991-01-11,2119.6,2124.5,2105.8,2105.8,N/A,N/A,
FTSE.GI,英国富时100,1991-01-14,2101.4,2102.4,2071.8,2080.8,N/A,N/A,
FTSE.GI,英国富时100,1991-01-15,2081.7,2081.7,2069.7,2071.1,N/A,N/A,
FTSE.GI,英国富时100,1991-01-16,2056.6,2060.8,2052.3,2054.9,N/A,N/A,
FTSE.GI,英国富时100,1991-01-17,2083.4,2120.3,2082.1,2104.6,N/A,N/A,
FTSE.GI,英国富时100,1991-01-18,2099.9,2103.7,2087,2102.7,N/A,N/A,
FTSE.GI,英国富时100,1991-01-21,2099.2,2103.9,2080.5,2084,N/A,N/A,
FTSE.GI,英国富时100,1991-01-22,2079.7,2084.1,2071.8,2081.6,N/A,N/A,
FTSE.GI,英国富时100,1991-01-23,2078,2093.1,2078,2080.5,N/A,N/A,
FTSE.GI,英国富时100,1991-01-24,2091.3,2100.9,2086.1,2099.5,N/A,N/A,
FTSE.GI,英国富时100,1991-01-25,2103.8,2107.7,2098.3,2103,N/A,N/A,
FTSE.GI,英国富时100,1991-01-28,2100.6,2118,2100.6,2118,N/A,N/A,
FTSE.GI,英国富时100,1991-01-29,2110.6,2116,2105.2,2113.8,N/A,N/A,
FTSE.GI,英国富时100,1991-01-30,2119.3,2152.7,2119.3,2152.6,N/A,N/A,
FTSE.GI,英国富时100,1991-01-31,2168.3,2182.1,2158.5,2170.1,N/A,N/A,
FTSE.GI,英国富时100,1991-02-01,2161.1,2168.6,2155.6,2165.8,N/A,N/A,
FTSE.GI,英国富时100,1991-02-04,2170.8,2182.3,2169.2,2172.4,N/A,N/A,
FTSE.GI,英国富时100,1991-02-05,2198.4,2202.7,2191.2,2201.9,N/A,N/A,
FTSE.GI,英国富时100,1991-02-06,2200.5,2204.9,2184.9,2194.8,N/A,N/A,
FTSE.GI,英国富时100,1991-02-07,2215.2,2244.7,2214.2,2243.7,N/A,N/A,
FTSE.GI,英国富时100,1991-02-08,2232.8,2248.2,2232.4,2245,N/A,N/A,
FTSE.GI,英国富时100,1991-02-11,2252.5,2280.9,2252.5,2278.9,N/A,N/A,
FTSE.GI,英国富时100,1991-02-12,2308.9,2308.9,2260.2,2264.5,N/A,N/A,
FTSE.GI,英国富时100,1991-02-13,2255.5,2284,2254.5,2267.8,N/A,N/A,
FTSE.GI,英国富时100,1991-02-14,2278.8,2306,2276.2,2294.4,N/A,N/A,
