代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),
GDAXI.GI,德国DAX,1990-12-19,N/A,1478.47,1452.07,1457.24,N/A,N/A,
GDAXI.GI,德国DAX,1990-12-20,1422.08,1426.04,1409.26,1409.26,N/A,N/A,
GDAXI.GI,德国DAX,1990-12-21,1404.87,1421.52,1404.87,1414.88,N/A,N/A,
GDAXI.GI,德国DAX,1990-12-27,1414.72,1419.05,1409.15,1410.87,N/A,N/A,
GDAXI.GI,德国DAX,1990-12-28,1403.28,1403.28,1389.02,1398.23,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-02,1375.35,1375.35,1359.04,1366.1,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-03,1371.68,1374.65,1365.22,1366.65,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-04,1375.38,1397.99,1375.38,1396.07,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-07,1373.62,1373.62,1352.5,1358.16,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-08,1350.35,1357.14,1345.46,1353.95,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-09,1358.56,1380.77,1357.99,1375.16,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-10,1367.85,1383.74,1363.12,1383.4,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-11,1401.28,1406.26,1376.89,1382.26,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-14,1354.45,1354.45,1331.25,1331.25,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-15,1326.99,1330.3,1312.38,1325.62,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-16,1316.12,1328.85,1311.82,1322.68,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-17,1380.32,1420.32,1380.32,1414.58,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-18,1403.63,1407.25,1394.74,1405.06,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-21,N/A,N/A,N/A,1390.2,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-22,1367.7,1380.07,1366.95,1375.12,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-23,1365.14,1370.98,1355.86,1358.76,N/A,N/A,
GDAXI.GI,德国DAX,1991-01-24,1372.88,1380.35,1372.88,1375.16,N/A,N/A,
