代码,简称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),
SPX.GI,标普500,1990-12-19,N/A,330.8,329.39,330.2,135106000,N/A,
SPX.GI,标普500,1990-12-20,330.2,330.74,326.94,330.12,130998000,N/A,
SPX.GI,标普500,1990-12-21,330.12,332.47,330.12,331.75,190965504,N/A,
SPX.GI,标普500,1990-12-24,331.74,331.74,329.16,329.9,37941400,N/A,
SPX.GI,标普500,1990-12-26,329.89,331.69,329.89,330.85,53798700,N/A,
SPX.GI,标普500,1990-12-27,330.85,331.04,328.23,328.29,72127800,N/A,
SPX.GI,标普500,1990-12-28,328.29,328.72,327.24,328.72,76959296,N/A,
SPX.GI,标普500,1990-12-31,328.71,330.23,327.5,330.22,72408704,N/A,
SPX.GI,标普500,1991-01-02,330.2,330.75,326.45,326.45,100095696,N/A,
SPX.GI,标普500,1991-01-03,326.46,326.53,321.9,321.91,116310704,N/A,
SPX.GI,标普500,1991-01-04,321.91,322.35,318.87,321,114560200,N/A,
SPX.GI,标普500,1991-01-07,320.97,321,315.44,315.44,100745400,N/A,
SPX.GI,标普500,1991-01-08,315.44,316.97,313.79,314.9,117119104,N/A,
SPX.GI,标普500,1991-01-09,314.9,320.73,310.93,311.49,162351296,N/A,
SPX.GI,标普500,1991-01-10,311.51,314.77,311.49,314.53,100686600,N/A,
SPX.GI,标普500,1991-01-11,314.53,315.24,313.59,315.23,102375200,N/A,
SPX.GI,标普500,1991-01-14,315.23,315.23,309.35,312.49,99804000,N/A,
SPX.GI,标普500,1991-01-15,312.49,313.73,311.84,313.73,86531200,N/A,
SPX.GI,标普500,1991-01-16,313.73,316.94,312.94,316.17,117039104,N/A,
SPX.GI,标普500,1991-01-17,316.17,327.97,316.17,327.97,285289408,N/A,
SPX.GI,标普500,1991-01-18,327.93,332.23,327.08,332.23,221425408,N/A,
SPX.GI,标普500,1991-01-21,332.21,332.23,328.87,331.06,118254304,N/A,
SPX.GI,标普500,1991-01-22,331.06,331.26,327.83,328.31,139568608,N/A,
SPX.GI,标普500,1991-01-23,328.3,331.04,327.93,330.21,132399504,N/A,
SPX.GI,标普500,1991-01-24,330.21,335.83,330.19,334.78,175605200,N/A,
SPX.GI,标普500,1991-01-25,334.78,336.92,334.2,336.07,165500496,N/A,
SPX.GI,标普500,1991-01-28,336.05,337.41,335.81,336.03,111472800,N/A,
SPX.GI,标普500,1991-01-29,336.03,336.03,334.26,335.84,132676400,N/A,
SPX.GI,标普500,1991-01-30,335.8,340.91,335.69,340.91,189951392,N/A,
SPX.GI,标普500,1991-01-31,340.92,343.93,340.47,343.93,166202208,N/A,
SPX.GI,标普500,1991-02-01,343.91,344.9,340.37,343.05,199583008,N/A,
SPX.GI,标普500,1991-02-04,343.17,348.71,342.96,348.34,186724704,N/A,
SPX.GI,标普500,1991-02-05,348.31,351.84,347.21,351.26,216429200,N/A,
SPX.GI,标普500,1991-02-06,351.26,358.07,349.58,358.07,212258416,N/A,
SPX.GI,标普500,1991-02-07,358.07,363.43,355.53,356.52,230629600,N/A,
SPX.GI,标普500,1991-02-08,356.52,359.35,356.02,359.35,145111008,N/A,
SPX.GI,标普500,1991-02-11,359.32,368.58,359.32,368.58,200438704,N/A,
SPX.GI,标普500,1991-02-12,368.47,370.54,365.5,365.5,203983104,N/A,
SPX.GI,标普500,1991-02-13,365.45,369.49,364.64,369.02,160959200,N/A,
SPX.GI,标普500,1991-02-14,369.03,370.26,362.77,364.22,178879808,N/A,
SPX.GI,标普500,1991-02-19,364.23,370.11,367.05,369.39,144948304,N/A,
